,Representation,Count
111,"['aspirin', 'amphetamine', 'effects', 'benzodiazepines', 'treatment', 'antidepressants', 'drugs', 'dopamine', 'drug', 'bcg']",22
112,"['churchill', 'rights', 'law', 'university', 'mckeown', 'adachi', 'frank', 'human', 'york', 'churchills']",22
113,"['astor', 'hotel', 'mall', 'plaza', 'theater', 'building', 'resort', 'hotels', 'broadway', 'theatre']",22
114,"['station', 'broadcasting', 'radio', 'saskatchewan', 'manitoba', 'watts', 'stations', 'format', 'crtc', 'fm']",22
115,"['augustus', 'alexios', 'agrippina', 'emperor', 'andronikos', 'byzantine', 'his', 'octavian', 'antoninus', 'roman']",22
116,"['trade', 'unions', 'union', 'workers', 'confederation', 'customs', 'deglobalization', 'federation', 'international', 'wul']",21
117,"['binary', 'node', 'algorithm', 'search', 'tree', 'complexity', 'if', 'cipher', 'key', 'block']",21
118,"['gte', 'telephone', 'verizon', 'internet', 'amps', 'communications', 'mobile', 'frontier', 'cellular', 'telecommunications']",21
119,"['beowulf', 'norse', 'edda', 'poem', 'gods', 'baldr', 'gir', 'odin', 'bragi', 'manuscript']",21
120,"['newspapers', 'managua', 'el', 'newspaper', 'domingo', 'santo', 'diario', 'daily', 'weekly', 'list']",20
121,"['alabaster', 'minerals', 'amethyst', 'mineral', 'beryl', 'biotite', 'bauxite', 'aluminium', 'crystals', 'mineralogy']",20
122,"['bowie', 'song', 'bowies', 'songs', 'david', 'mick', 'ronson', 'album', 'hunky', 'guitar']",20
123,"['croft', 'brookelittle', 'arms', 'exmoor', 'sir', 'mps', 'knight', 'simonsbath', 'he', 'heraldry']",20
124,"['breast', 'brain', 'breasts', 'aorta', 'neurons', 'mammary', 'nerve', 'reconstruction', 'tissue', 'chordates']",20
125,"['day', 'calendar', 'st', 'double', 'confessor', 'com', 'octave', 'feria', 'martyr', 'year']",20
126,"['alignleft', 'boxers', 'olympics', 'games', 'summer', 'nigeria', 'solid', 'boxing', '2004', 'allafrica']",20
127,"['kansas', 'park', 'wildlife', 'wilderness', 'refuge', 'wyoming', 'state', 'parks', 'areas', 'protected']",19
128,"['romania', 'town', 'county', 'muntenia', 'valea', 'localities', 'bucharest', 'towns', 'prahova', 'mihai']",19
129,"['freestyle', 'lochte', 'swimming', 'swimmers', 'medalists', 'olympics', 'summer', 'olympic', '200meter', 'championships']",19
