,Representation,Count
135,"['furniture', 'sofas', 'armoires', 'sofa', 'chairs', 'shopping', 'cushions', 'seating', 'desks', 'benches']",23
136,"['taylor', 'taylors', 'louisville', 'protesters', 'officers', 'suspects', 'indicted', 'fatally', 'breonna', 'murder']",23
137,"['lgbt', 'lgbtq', 'discrimination', 'transgender', 'rights', 'justices', 'liberties', 'restrictions', 'prohibits', 'constitutions']",22
138,"['beirut', 'beiruts', 'lebanon', 'lebanons', 'hezbollah', 'lebanese', 'explosion', 'explosions', 'protesters', 'anger']",22
139,"['july', 'contest', 'summer', 'june', 'reading', 'week', 'winners', 'participate', 'lottery', 'participating']",22
140,"['marcos', 'mandela', 'reyes', 'dies', 'ambassador', 'died', 'diplomat', 'ricardo', 'death', 'killed']",22
141,"['coronavirus', 'deaths', 'mortality', 'covid19', 'outbreaks', 'influenza', 'toll', 'death', 'cholera', 'cdc']",21
142,"['distillery', 'cocktails', 'cocktail', 'brew', 'whisky', 'liquor', 'whiskey', 'beverages', 'drinks', 'whiskeys']",21
143,"['coronavirus', 'covid19s', 'racial', 'minorities', 'blacks', 'covid19', 'disparities', 'africanamericans', 'latino', 'hispanic']",21
144,"['pets', 'dogs', 'pet', 'veterinarians', 'vets', 'peta', 'dog', 'animals', 'dogfriendly', 'barking']",21
145,"['brexit', 'brexits', 'britons', 'britains', 'britain', 'eu', 'brussels', 'uks', 'negotiations', 'british']",21
146,"['oscars', 'oscar', 'awards', 'nominations', 'oscarnominated', 'nominees', 'academy', 'oscarssowhite', 'screenplay', 'emmys']",21
147,"['portland', 'protesters', 'protests', 'protest', 'washington', 'cities', 'washingtons', 'mayor', 'streets', 'downtown']",21
148,"['photographs', 'photojournalism', 'photograph', 'photographer', 'photographers', 'cameras', 'photojournalists', 'photojournalist', 'travel', 'pictures']",21
149,"['taliban', 'kabul', 'talibans', 'afghanistan', 'afghan', 'afghans', 'ceasefire', 'hostilities', 'peace', 'war']",20
150,"['cities', 'citys', 'urban', 'pandemic', 'city', 'coronavirus', 'towns', 'covid', 'residents', 'resilient']",20
151,"['beijing', 'china', 'economy', 'chinas', 'economically', 'chinese', 'affluent', 'spending', 'consumers', 'underpopulation']",20
152,"['hospitalizations', 'hospitals', 'hospital', 'patients', 'beds', 'covid', 'coronavirus', 'facility', 'covid19', 'ambulance']",20
153,"['pence', 'debates', 'penceharris', 'debate', 'hearings', 'presidential', 'senator', 'colbert', 'kamala', 'harris']",20
