,Representation
102,"['inequality', 'america', 'wage', 'gates', 'khan', 'visible', 'fixing', 'break', 'richest', 'charts']"
103,"['saying', 'image', 'illustration', 'what', 'think', 'this', 'relate', 'gif', 'do', 'comment']"
104,"['acrostic', 'rathvon', 'cox', 'emily', 'henry', 'variety', 'us', 'cryptic', 'remind', 'carrolls']"
105,"['china', 'taiwan', 'trade', 'beijing', 'huawei', 'chinese', 'american', 'administration', 'superpower', 'chinas']"
106,"['landlords', 'rent', 'eviction', 'tenants', 'renters', 'evictions', 'moratorium', 'pay', 'tenant', 'lease']"
107,"['black', 'matter', 'lives', 'movement', 'racial', 'protests', 'march', 'activists', 'trans', 'organizer']"
108,"['solvers', 'heck', 'stumped', 'entries', 'puzzles', 'weeks', 'look', 'last', 'one', 'our']"
109,"['fraud', 'election', 'voter', 'false', 'claims', 'stolen', 'allies', 'trump', 'misinformation', 'victory']"
110,"['gop', 'party', 'republicans', 'republican', 'trump', 'pac', 'principled', 'retain', 'will', 'scrambles']"
111,"['postal', 'service', 'mail', 'dejoy', 'postmaster', 'mailin', 'voting', 'election', 'costcutting', 'louis']"
112,"['census', 'count', 'unauthorized', 'population', 'immigrants', 'exclude', 'shrinking', 'noncitizens', 'administrations', 'bureau']"
113,"['georgia', 'georgias', 'senate', 'runoff', 'elections', 'runoffs', 'races', 'blue', 'recount', 'meltdown']"
114,"['inmates', 'prison', 'prisons', 'prisoners', 'jails', 'release', 'bars', 'freed', 'jail', 'correctional']"
115,"['gun', 'guns', 'shootings', 'crime', 'bail', 'surge', 'violence', 'glock', 'homicides', 'murders']"
116,"['schools', 'school', 'students', 'children', 'classrooms', 'coronavirus', 'backtoschool', 'teachers', 'closing', 'remote']"
117,"['black', 'racism', 'white', 'reparations', 'americans', 'racial', 'america', 'fragility', 'reconciliation', 'lives']"
118,"['sanitizer', 'cocktails', 'whiskey', 'spirits', 'craft', 'distillery', 'distilleries', 'hand', 'liquor', 'beer']"
119,"['shooting', 'kenosha', 'fatal', 'man', 'killed', 'police', 'officer', 'murder', 'rayshard', 'shot']"
120,"['residential', 'sold', 'region', 'sales', 'recent', 'homes', '600000', 'around', 'city', 'york']"
121,"['abortion', 'court', 'louisiana', 'supreme', 'abortions', 'ruling', 'roberts', 'privileges', 'admitting', 'rights']"
122,"['ski', 'skiing', 'snow', 'slopes', 'snowstorm', 'winter', 'passes', 'resorts', '36', 'mountain']"
123,"['loans', 'aid', 'program', 'loan', 'paycheck', 'businesses', 'small', 'federal', 'protection', 'smallbusiness']"
124,"['putin', 'belarus', 'vladimir', 'navalny', 'russian', 'aleksei', 'kremlin', 'putins', 'leader', 'aleksandr']"
125,"['taliban', 'afghan', 'afghanistan', 'peace', 'afghans', 'talks', 'deal', 'ghani', 'troops', 'us']"
126,"['tax', 'taxes', 'income', 'donald', 'irs', 'writeoffs', 'paid', 'trumps', 'code', 'hotel']"
127,"['travel', 'vacation', 'traveler', 'traveling', 'flying', 'iceland', 'tourism', 'during', 'you', 'travelers']"
128,"['move', 'cities', 'suburban', 'renters', 'men', 'upper', 'walkable', 'attract', 'homeless', 'urban']"
129,"['dog', 'pets', 'dogs', 'pet', 'owners', 'animal', 'crossing', 'diabetes', 'vets', 'barking']"
130,"['australia', 'australias', 'fires', 'blazes', 'wildfires', 'australian', 'climate', 'flames', 'fire', 'burned']"
131,"['amazon', 'amazons', 'bezos', 'jeff', 'contract', 'jedi', 'shopify', 'warehouses', 'customer', 'store']"
132,"['cases', 'record', 'singleday', 'caseload', 'reported', 'total', 'us', '50000', 'infections', 'states']"
133,"['slavery', 'colony', 'lincoln', 'abraham', 'slaves', 'owned', 'king', 'violence', 'crow', 'malcolm']"
134,"['yorkers', 'graffiti', 'city', 'cities', 'vulnerable', 'coronavirus', 'town', 'virus', 'citys', 'brink']"
135,"['beirut', 'explosion', 'blast', 'lebanons', 'lebanon', 'lebanese', 'tons', 'port', 'ammonium', 'nitrate']"
136,"['rally', 'tulsa', 'rallies', 'campaign', 'fallon', 'juneteenth', 'trump', 'speaks', 'president', 'trumps']"
137,"['opera', 'met', 'operas', 'franois', 'metropolitan', 'callas', 'dutchman', 'staging', 'maria', 'concert']"
138,"['bills', 'surprise', 'medical', 'cost', 'patients', 'hospital', 'bill', 'costs', 'care', 'tests']"
139,"['climate', 'water', 'ice', 'change', 'earth', 'oceans', 'polar', 'arctic', 'sea', 'marine']"
140,"['google', 'antitrust', 'googles', 'company', 'justice', 'tech', 'search', 'giant', 'regulators', 'suit']"
141,"['brexit', 'britain', 'european', 'eu', 'trade', 'uk', 'britains', 'union', 'negotiations', 'departure']"
142,"['transgender', 'supreme', 'rights', 'court', 'religious', 'religion', 'gay', 'ruling', 'protects', 'civil']"
