,Representation
109,"['anal', 'breast', 'brain', 'sex', 'breasts', 'cervix', 'vaginal', 'aorta', 'cervical', 'intercourse']"
110,"['base', 'baseball', 'batter', 'ball', 'runner', 'bat', 'pitcher', 'hit', 'pitch', 'plate']"
111,"['limnonectes', 'frog', 'frogs', 'species', 'platymantis', 'cornufer', 'genus', 'amphibians', 'yellowbellied', 'toad']"
112,"['day', 'calendar', 'st', 'double', 'confessor', 'com', 'octave', 'feria', 'year', 'martyr']"
113,"['station', 'broadcasting', 'radio', 'saskatchewan', 'manitoba', 'watts', 'stations', 'format', 'fm', 'crtc']"
114,"['amsterdam', 'utrecht', 'dutch', 'municipality', 'city', 'amsterdams', 'netherlands', 'amstel', 'van', 'province']"
115,"['forces', 'chad', 'military', 'armed', 'ethiopian', 'army', 'battalion', 'president', 'adwa', 'chadian']"
116,"['gte', 'verizon', 'telephone', 'communications', 'frontier', 'internet', 'contel', 'telecommunications', 'cable', 'company']"
117,"['gois', 'municipalities', 'population', 'ha', '2007', 'goinia', 'municipality', 'cattle', 'ranking', 'rio']"
118,"['alignleft', 'boxers', 'olympics', 'games', 'summer', 'nigeria', 'solid', '2004', 'allafrica', 'olympic']"
119,"['trade', 'unions', 'union', 'workers', 'confederation', 'customs', 'federation', 'wul', 'international', 'atuc']"
120,"['freestyle', 'lochte', 'swimming', 'swimmers', 'medalists', 'olympics', 'olympic', 'summer', '200meter', 'championships']"
121,"['racing', 'drivers', 'formula', 'brabham', 'grassi', 'car', 'race', 'championship', 'di', 'cars']"
122,"['bowie', 'song', 'bowies', 'songs', 'david', 'mick', 'album', 'ronson', 'hunky', 'guitar']"
123,"['audi', 'bmw', 'aston', 'martin', 'cars', 'engine', 'tractor', 'car', 'tractors', 'bentley']"
124,"['she', 'theron', 'her', 'puerto', 'mart', 'film', 'cuarn', 'actresses', 'rican', 'award']"
125,"['solzhenitsyn', 'russian', 'sakharov', 'karpov', 'soviet', 'przeworski', 'chess', 'moscow', 'he', 'democracy']"
126,"['beowulf', 'norse', 'edda', 'poem', 'gods', 'baldr', 'gir', 'odin', 'bragi', 'manuscript']"
127,"['bundesliga', 'club', 'regionalliga', 'liga', 'clubs', 'oberliga', 'football', 'fc', 'season', 'liechtenstein']"
128,"['romania', 'town', 'county', 'muntenia', 'valea', 'localities', 'bucharest', 'prahova', 'mihai', 'towns']"
129,"['dip', 'chicano', 'mexican', 'mexico', 'chicanos', 'de', 'firearms', 'monsivis', 'jos', 'chvez']"
130,"['ibn', 'aden', 'bin', 'sultan', 'salih', 'wahidi', 'protectorate', 'sultanate', 'ali', 'yemen']"
131,"['hockey', 'nhl', 'marsh', 'players', 'season', 'games', 'points', 'cannons', 'ice', 'draft']"
132,"['apollo', 'lunar', 'mission', 'crew', 'moon', 'spacecraft', 'astronauts', 'nasa', 'module', 'lm']"
133,"['basketball', 'knight', 'coach', 'coaches', 'mens', 'head', 'indiana', 'players', 'ncaa', 'coaching']"
134,"['railway', 'station', 'stations', 'line', 'falmouth', 'platform', 'trains', 'opened', 'train', 'services']"
135,"['astor', 'mall', 'plaza', 'hotel', 'theater', 'building', 'resort', 'broadway', 'minskoff', 'hotels']"
136,"['young', 'church', 'bju', 'methodist', 'jones', 'university', 'youngs', 'lake', 'baptist', 'he']"
137,"['montgomery', 'army', 'montgomerys', 'murray', 'war', 'general', 'he', 'farrell', 'corps', 'british']"
138,"['cricket', 'ashes', 'test', 'cricketers', 'australia', 'england', 'lara', 'series', 'innings', 'urn']"
139,"['under19', 'cricket', 'overs', 'pujara', 'runs', 'test', 'cup', 'innings', 'team', 'balls']"
140,"['english', 'breton', 'british', 'britain', 'celtic', 'bre', 'ame', 'brittonic', 'languages', 'language']"
141,"['alaska', 'alberta', 'oil', 'canada', 'columbia', 'canadas', 'canadian', 'province', 'albertas', 'gas']"
142,"['pasternak', 'chekhov', 'praxis', 'russian', 'chekhovs', 'pasternaks', 'serbian', 'ivinskaya', 'zhivago', 'belgrade']"
143,"['sadf', 'fapla', 'operation', 'unita', 'brigade', 'battalion', 'south', 'angola', 'artillery', 'cuito']"
144,"['aclu', 'copyright', 'arbitrage', 'accounting', 'rights', 'books', 'liberties', 'or', 'aclus', 'book']"
145,"['constituency', 'constituencies', 'labour', 'borough', 'london', 'election', 'elections', 'parliament', 'assembly', 'conservative']"
146,"['bbs', 'software', 'aim', 'bbses', 'users', 'apache', 'internet', 'user', 'web', 'fidonet']"
147,"['pan', 'games', 'sports', 'american', 'host', 'paso', 'winnipeg', 'athletes', 'stadium', 'ceremony']"
148,"['greece', 'greek', 'ministry', 'mps', 'party', 'minister', 'democracy', 'meimarakis', 'shipping', 'ministers']"
149,"['lamborghini', 'triton', 'athon', 'engine', 'mitsubishi', 'bertone', 'car', 'concept', 'vgt', 'design']"
150,"['tismneanu', 'romanian', 'tismneanus', 'kerensky', 'communist', 'bulgaria', 'party', 'communism', 'bulgarian', 'vladimir']"
151,"['bantu', 'tikar', 'languages', 'bambara', 'million', 'kpelle', 'language', 'ghana', 'people', 'swahili']"
152,"['music', 'blues', 'country', 'cappella', 'anthem', 'ballads', 'counterpoint', 'folk', 'style', 'songs']"
153,"['bobsleigh', 'olympics', 'winter', 'medal', 'luge', 'events', 'olympic', 'dixon', '1976', 'medals']"
154,"['coins', 'franc', 'currency', 'coin', 'mint', 'currencies', 'barber', 'cfa', 'dollar', 'nickel']"
155,"['area', 'codes', 'code', '404', '770', 'atlanta', 'mexico', 'numbering', '706', '678']"
156,"['crowley', 'alfred', 'ambrosius', 'alfreds', 'ealdred', 'canterbury', 'anglosaxon', 'his', 'king', 'he']"
157,"['rail', 'railway', 'train', 'railways', 'trains', 'passenger', 'class', 'locomotives', 'british', 'services']"
158,"['ark', 'abraham', 'aaron', 'absalom', 'moses', 'abner', 'god', 'david', 'his', 'biblical']"
159,"['hockey', 'field', 'olympics', 'summer', 'medalists', 'spain', 'players', 'olympic', '1992', 'spanish']"
160,"['abc', 'bbc', 'news', 'radio', 'channel', 'broadcasting', 'show', 'broadcast', 'channels', 'television']"
161,"['she', 'doubles', 'tennis', 'kournikova', 'round', 'open', 'wta', 'her', 'lost', 'gajdoov']"
162,"['episode', 'cheers', 'michael', 'dwight', 'pam', 'office', 'episodes', 'jim', 'series', 'season']"
163,"['alignleft', 'roussimoff', 'wrestling', 'sayers', 'fight', 'championship', 'pts', 'heavyweight', 'win', 'aligncenter']"
164,"['curling', 'curlers', 'team', 'winter', 'olympics', 'brier', 'olympic', 'gushue', 'bemidji', 'rink']"
165,"['danish', 'belgian', 'nstved', 'hoefkens', 'division', 'styletextalignright', 'club', 'league', 'holbk', 'boldklub']"
166,"['sr15', 'route', 'highway', 'freeway', 'parkway', 'segment', 'path', 'road', 'spur', 'sr']"
167,"['film', 'films', 'bollywood', 'bachchan', 'hindi', 'indian', 'devdas', 'cinema', 'india', 'nayanthara']"
168,"['adelaide', 'australia', 'babinda', 'adelaides', 'south', 'australian', 'richmond', 'suburbs', 'australias', 'city']"
169,"['ballarat', 'hawke', 'labor', 'australian', 'party', 'australia', 'election', 'government', 'federal', 'victoria']"
170,"['rosie', 'television', 'cartoon', 'series', 'visits', 'jim', 'neil', 'bagpuss', 'childrens', 'pat']"
171,"['abba', 'ulvaeus', 'album', 'andersson', 'song', 'kudai', 'released', 'fltskog', 'lyngstad', 'abbas']"
172,"['arabic', 'spoken', 'dialects', 'languages', 'varieties', 'language', 'aquila', 'pronunciation', 'msa', 'vowels']"
173,"['herald', 'ami', 'newspaper', 'boston', 'newspapers', 'media', 'daily', 'paper', 'advertiser', 'news']"
