,Representation,Count
79,"['nj', 'ny', 'jersey', 'properties', 'sale', 'county', 'homes', 'fivebedroom', 'township', 'fourbedroom']",38
80,"['work', 'working', 'office', 'home', 'productive', 'remote', 'employees', 'employers', 'remotely', 'workplace']",38
81,"['cities', 'bronx', 'yorkers', 'neighborhoods', 'city', 'york', 'new', 'coronavirus', 'virus', 'yorks']",37
82,"['fed', 'reserve', 'federal', 'bank', 'feds', 'central', 'treasury', 'congress', 'banks', 'debt']",37
83,"['pregnancy', 'risk', 'birth', 'tied', 'diabetes', 'women', 'increased', 'premature', 'babies', 'pregnant']",37
84,"['amendment', 'women', 'suffrage', '19th', 'vote', 'womens', 'overlooked', 'equal', 'feminist', 'rights']",37
85,"['games', 'gaming', 'game', 'video', 'esports', 'microsofts', 'bored', 'play', 'playstation', 'xbox']",37
86,"['amazon', 'amazons', 'commercials', 'bezos', 'ad', 'warehouses', 'warehouse', 'jeff', 'contract', 'shopify']",37
87,"['barrett', 'coney', 'amy', 'supreme', 'court', 'confirmation', 'judge', 'barretts', 'hearings', 'nominee']",36
88,"['bolton', 'ukraine', 'john', 'impeachment', 'testify', 'trial', 'boltons', 'adviser', 'security', 'book']",36
89,"['737', 'airlines', 'max', 'boeing', 'plane', 'flight', 'crashes', 'passengers', 'boeings', 'airline']",36
90,"['bloomberg', 'michael', 'bloombergs', 'rivals', 'democratic', 'presidential', 'debate', 'democrats', 'billionaires', 'ads']",35
91,"['gop', 'party', 'republicans', 'republican', 'trump', 'pac', 'lose', 'president', 'ohio', 'retain']",34
92,"['syria', 'turkey', 'syrian', 'war', 'turkish', 'conflict', 'alassad', 'tigray', 'azerbaijan', 'bashar']",33
93,"['statues', 'monuments', 'statue', 'confederate', 'toppled', 'memorial', 'monument', 'history', 'roosevelt', 'protester']",33
94,"['sweden', 'europe', 'swedes', 'wave', 'latin', 'coronavirus', 'continent', 'countries', 'swedens', 'mosque']",33
95,"['food', 'hunger', 'insecurity', 'feed', 'pork', 'americans', 'cooking', 'feeding', 'hungry', 'eggs']",32
96,"['caption', 'moderated', 'stripped', 'closely', 'picture', 'join', 'image', 'conversation', 'whats', 'see']",32
97,"['sanitizer', 'drinking', 'cocktails', 'alcohol', 'whiskey', 'spirits', 'liquor', 'craft', 'distilleries', 'distillery']",31
98,"['ski', 'snow', 'slopes', 'skiing', '36', 'snowstorm', 'winter', 'hours', 'hiking', 'passes']",31
99,"['she', 'her', 'was', 'felt', 'headache', 'didnt', 'dizziness', 'barely', 'had', 'doctors']",31
100,"['learning', 'school', 'schools', 'children', 'snow', 'classroom', 'pods', 'remote', 'education', 'kids']",31
101,"['cruise', 'ship', 'ships', 'passengers', 'sail', 'princess', 'diamond', 'vegas', 'docked', 'carnival']",30
102,"['landlords', 'rent', 'eviction', 'tenants', 'renters', 'evictions', 'moratorium', 'pay', 'tenant', 'lease']",30
103,"['crossword', 'debut', 'makes', 'times', 'york', 'abetted', 'chen', 'ably', 'her', 'jeff']",30
104,"['machines', 'robot', 'robots', 'artificial', 'computer', 'automation', 'intelligence', 'computers', 'lesson', 'education']",30
105,"['dog', 'dogs', 'pets', 'owners', 'pet', 'westminster', 'diabetes', 'barking', 'vets', 'puppy']",29
106,"['saying', 'image', 'illustration', 'what', 'think', 'this', 'relate', 'gif', 'do', 'comment']",29
107,"['georgia', 'georgias', 'senate', 'runoff', 'elections', 'runoffs', 'races', 'blue', 'recount', 'meltdown']",28
108,"['loans', 'paycheck', 'businesses', 'program', 'small', 'loan', 'protection', 'aid', 'bailout', 'relief']",28
109,"['dies', 'he', 'died', 'peace', 'at', 'valderrama', 'moi', 'prez', 'reyes', 'abdi']",28
110,"['tennis', 'open', 'djokovic', 'novak', 'federer', 'players', 'thiem', 'matches', 'mens', 'tournament']",28
111,"['drug', 'patients', 'remdesivir', 'study', 'antibody', 'eli', 'plasma', 'lilly', 'immune', 'drugs']",28
112,"['putin', 'belarus', 'vladimir', 'navalny', 'kremlin', 'russian', 'aleksei', 'putins', 'leader', 'aleksandr']",27
113,"['boris', 'johnson', 'prime', 'british', 'england', 'minister', 'lockdown', 'britains', 'britain', 'uk']",27
114,"['gun', 'shootings', 'crime', 'guns', 'bail', 'surge', 'violence', 'firearms', 'homicides', 'violent']",27
115,"['grieving', 'rituals', 'death', 'grief', 'mourn', 'loss', 'mourning', 'pain', 'we', 'losses']",27
116,"['solvers', 'heck', 'stumped', 'entries', 'puzzles', 'weeks', 'look', 'last', 'our', 'one']",27
117,"['deaths', 'toll', 'metro', 'outbreaks', 'than', 'us', 'areas', 'coronavirus', 'number', 'analysis']",27
118,"['opioid', 'drug', 'addiction', 'drugs', 'purdue', 'pharma', 'epidemic', 'settlement', 'states', 'decriminalize']",27
119,"['inmates', 'prison', 'prisons', 'prisoners', 'jails', 'release', 'bars', 'rikers', 'tavern', 'freed']",27
120,"['inequality', 'america', 'wage', 'willing', 'khan', 'visible', 'fixing', 'gates', 'examine', 'economic']",27
121,"['rally', 'tulsa', 'rallies', 'campaign', 'fallon', 'trump', 'juneteenth', 'kimmel', 'trumps', 'president']",26
122,"['postal', 'service', 'mail', 'dejoy', 'postmaster', 'mailin', 'costcutting', 'louis', 'ballots', 'election']",26
123,"['abortion', 'court', 'louisiana', 'supreme', 'abortions', 'ruling', 'roberts', 'privileges', 'admitting', 'rights']",26
124,"['census', 'count', 'population', 'shrinking', 'noncitizens', 'counted', 'residents', 'bureau', 'why', 'deadline']",26
125,"['football', 'college', 'ten', 'athletes', 'conferences', 'players', 'positive', 'big', 'pac12', 'saban']",26
126,"['suburbs', 'suburban', 'voters', 'black', 'white', 'racial', 'presidents', 'tilting', 'trumps', 'segregated']",25
127,"['director', 'carell', 'review', 'plays', 'david', 'comedy', 'bosch', 'belushi', 'finchers', 'john']",25
128,"['travel', 'vacation', 'trip', 'traveling', 'iceland', 'summer', 'tourism', 'during', 'pandemic', 'traveler']",25
129,"['modi', 'india', 'delhi', 'hindu', 'narendra', 'muslims', 'minister', 'prime', 'indias', 'violence']",25
130,"['residential', 'sold', 'region', 'sales', 'recent', '600000', 'homes', 'around', 'sells', 'city']",25
131,"['hospital', 'beds', 'hospitals', 'patients', 'icu', 'citys', '1000bed', 'capacity', 'care', 'covid19']",24
132,"['rents', 'renters', 'broker', 'brokers', 'fees', 'rent', 'apartment', 'fee', 'ibuying', 'ban']",24
133,"['australia', 'australias', 'fires', 'blazes', 'fire', 'wildfires', 'climate', 'flames', 'burned', 'australian']",24
134,"['sexual', 'metoo', 'abuse', 'child', 'sexabuse', 'scouts', 'pornhub', 'boy', 'imagery', 'movement']",24
135,"['ironman', '100', 'race', 'swimming', 'swimmers', 'miles', 'run', 'running', 'races', 'fastest']",24
136,"['move', 'homeless', 'suburban', 'renters', 'cities', 'men', 'upper', 'walkable', 'attract', 'urban']",24
137,"['quarantine', 'apart', 'romantic', 'you', 'rekindle', 'together', 'couples', 'love', 'date', 'life']",23
138,"['shooting', 'kenosha', 'fatal', 'rayshard', 'officer', 'police', 'brooks', 'blake', 'man', 'murder']",23
139,"['immigration', 'visas', 'immigrants', 'daca', 'block', 'visa', 'administration', 'green', 'cards', 'rules']",23
140,"['recession', 'economic', 'economy', 'worse', 'recovery', 'worst', 'decline', 'global', 'forecasts', 'slump']",22
141,"['hydroxychloroquine', 'drug', 'malaria', 'chloroquine', 'drugs', 'promoted', 'patients', 'antimalarial', 'trump', 'prescribing']",22
142,"['beirut', 'explosion', 'blast', 'lebanons', 'lebanon', 'lebanese', 'tons', 'port', 'beiruts', 'nitrate']",22
143,"['google', 'antitrust', 'googles', 'company', 'justice', 'tech', 'search', 'giant', 'regulators', 'suit']",21
144,"['week', 'reading', 'contest', 'winner', 'summer', 'submit', 'congratulations', 'participate', 'eastern', 'winners']",21
145,"['brexit', 'britain', 'european', 'eu', 'trade', 'uk', 'britains', 'union', 'negotiations', 'departure']",21
146,"['black', 'racial', 'rates', 'infection', 'alarming', 'hispanic', 'skin', 'reunions', 'white', 'latino']",21
147,"['supreme', 'court', 'transgender', 'religious', 'rights', 'religion', 'gay', 'justices', 'ruling', 'protects']",21
148,"['schools', 'school', 'classrooms', 'students', 'children', 'contagious', 'detailed', 'child', 'classroom', 'reopenings']",21
149,"['pence', 'mike', 'vice', 'harris', 'kamala', 'debate', 'vicepresidential', 'fly', 'pences', 'president']",21
150,"['bills', 'medical', 'surprise', 'cost', 'patients', 'hospital', 'bill', 'care', 'advantage', 'exempt']",21
151,"['stores', 'retail', 'chains', 'store', 'closing', 'businesses', 'shutting', 'farmville', 'shopping', 'secondhand']",20
152,"['symptoms', 'covid19', 'patients', 'covid', 'survivors', 'psychotic', 'rehabilitation', 'illness', 'signs', 'surgery']",20
153,"['portland', 'federal', 'agents', 'protesters', 'cities', 'militarized', 'mayor', 'deployment', 'ore', 'tactical']",20
154,"['music', 'concerts', 'singing', 'taps', 'coachella', 'musicians', 'corden', 'listener', 'drivein', 'metal']",20
155,"['america', 'covid19', 'hospitalizations', 'coronavirus', 'americans', 'percent', 'faith', 'so', 'quagmire', 'botching']",20
156,"['time', 'epilepsy', 'tips', 'life', 'isolation', 'clock', 'nor', 'me', 'neither', 'taught']",19
157,"['lewis', 'john', 'civil', 'rights', 'congressman', 'icon', 'lowery', 'redeem', 'inauguration', 'nation']",19
158,"['ventilators', 'ventilator', 'shortage', 'lifesaving', 'doctors', 'critical', 'ventec', 'thousands', 'gm', 'production']",19
159,"['slaves', 'slavery', 'colony', 'lincoln', 'abraham', 'owned', 'malcolm', 'founders', 'personally', 'king']",19
160,"['donors', 'biden', 'financial', 'cash', 'million', 'raises', 'fundraising', 'campaigns', 'huge', 'money']",19
161,"['breonna', 'taylor', 'taylors', 'raid', 'louisville', 'officers', 'officer', 'police', 'ms', 'killing']",19
162,"['airbnb', 'hotel', 'hotels', 'shortterm', 'travelers', 'rental', 'hygiene', 'distancing', 'doordash', 'refund']",19
163,"['fauci', 'dr', 'infectious', 'anthony', 'expert', 'colbert', 'dye', 'aides', 'diseases', 'giuliani']",19
164,"['chinas', 'economy', 'consumers', 'china', 'beijing', 'chinese', 'xi', 'exports', 'spending', 'countrys']",19
165,"['sturgis', 'protests', 'protesters', 'rally', 'motorcycle', 'crowds', 'antivaccine', 'gather', 'defy', 'orders']",19
166,"['taliban', 'afghan', 'peace', 'afghanistan', 'afghans', 'talks', 'deal', 'ghani', 'agreement', 'talibans']",19
167,"['conn', 'connecticut', 'properties', 'sale', 'ny', 'fivebedroom', 'fairfield', 'homes', 'weeks', 'include']",19
168,"['apocalypse', 'happening', 'apocalyptic', '2020', 'end', 'scholars', 'asking', 'coming', 'dispensation', 'reaganism']",19
169,"['residential', 'sold', 'sales', 'region', 'recent', 'homes', 'around', 'million', '15', 'city']",19
170,"['mitch', 'mcconnell', 'senate', 'majority', 'donors', 'kentucky', 'bad', 'chutzpah', 'roasts', 'ungovernable']",19
171,"['oscars', 'oscar', 'parasite', 'awards', 'academy', 'nominations', 'film', 'best', 'korean', 'screenplay']",18
172,"['loneliness', 'isolation', 'emotional', 'alone', 'connected', 'chimps', 'fend', 'men', 'social', 'lonely']",18
173,"['shopping', 'chairs', 'furniture', 'shelving', 'lounge', 'clutter', 'blankets', 'youre', 'collections', 'because']",18
174,"['recap', 'saul', 'episode', 'season', 'call', 'billions', 'gus', 'better', 'bobby', 'kim']",18
175,"['italy', 'italian', 'roma', 'bergamo', 'europes', 'milan', 'italys', 'country', 'coronavirus', 'poverty']",18
176,"['church', 'pastor', 'lentz', 'megachurch', 'evangelicals', 'evangelical', 'hillsong', 'religious', 'nigerian', 'bloc']",18
177,"['court', 'supreme', 'appeals', 'courts', 'judges', 'imprint', 'judicial', 'appointees', 'vacancy', 'constitution']",18
178,"['robyn', 'weintraub', 'puzzle', 'caitlin', 'reid', 'friday', 'us', 'terrapin', 'nutts', 'topper']",18
179,"['climate', 'water', 'change', 'oceans', 'polar', 'ice', 'arctic', 'sea', 'marine', 'lakes']",18
180,"['blasio', 'de', 'mayor', 'bill', 'mayors', 'executives', 'mayoral', 'leadership', 'city', 'race']",18
181,"['golf', 'masters', 'pga', 'golfs', 'woods', 'golfers', 'augusta', 'tiger', 'tour', 'tournaments']",17
182,"['ethicist', 'magazines', 'columnist', 'my', 'sibling', 'tell', 'daughter', 'your', 'stepson', 'brother']",17
183,"['opera', 'met', 'franois', 'operas', 'metropolitan', 'callas', 'dutchman', 'maria', 'companys', 'star']",17
184,"['ginsburg', 'bader', 'ruth', 'ginsburgs', 'justice', 'supreme', 'feminist', 'cheater', 'appointed', 'she']",17
185,"['pronouns', 'pay', 'unpaid', 'au', 'equal', 'gender', 'pairs', 'women', 'womens', 'entitled']",17
186,"['tax', 'taxes', 'income', 'irs', 'code', 'donald', 'trumps', '750', 'writeoffs', 'hotel']",17
187,"['bounties', 'afghanistan', 'troops', 'russia', 'russian', 'kill', 'intelligence', 'militants', 'assessment', 'cia']",17
188,"['bike', 'bikes', 'bicycles', 'bicycle', 'biking', 'cycling', 'ebike', 'thefts', 'store', 'shortage']",17
189,"['buttigieg', 'pete', 'klobuchar', 'gay', 'amy', 'iowa', 'mr', 'mayor', 'hampshire', 'rivals']",17
190,"['harry', 'meghan', 'prince', 'royal', 'queen', 'palace', 'couple', 'canada', 'buckingham', 'sussex']",17
191,"['warren', 'elizabeth', 'warrens', 'ms', 'her', 'factions', 'candidate', 'field', 'senator', 'hillary']",17
192,"['weekend', 'writers', 'cultural', 'things', 'suggestions', 'noteworthy', 'listen', 'watch', 'arts', 'selected']",17
193,"['dinkins', 'mayor', 'yang', 'stopandfrisk', 'mayoral', 'wiley', 'mcguire', 'giuliani', 'mayors', 'candidate']",17
194,"['vaping', 'marijuana', 'smoking', 'flavored', 'ecigarettes', 'tobacco', 'cannabis', 'smokers', 'vapers', 'juul']",16
195,"['events', 'appointment', 'tune', 'viewing', 'livestreaming', 'today', 'online', 'find', 'look', 'back']",16
196,"['curfew', 'protests', 'looting', 'nyc', 'pm', 'updates', 'barclays', 'demonstrations', 'began', 'latest']",16
197,"['zoom', 'videoconferencing', 'zooms', 'dropbox', 'meetings', 'privacy', 'feature', 'video', 'meeting', 'snoop']",16
198,"['pardons', 'pardon', 'clemency', 'kerik', 'pardoned', 'commutations', 'milken', 'pardoning', 'giuliani', 'flynn']",16
199,"['afghan', 'progovernment', 'casualty', 'civilians', 'forces', 'afghanistan', 'killed', 'least', 'report', 'gunmen']",16
200,"['electoral', 'electors', 'college', 'vote', 'faithless', 'undemocratic', 'pick', 'override', 'legislatures', 'votes']",15
201,"['indoors', 'airborne', 'air', 'floating', 'droplets', 'aerosols', 'particles', 'infectious', 'transmission', 'study']",15
202,"['india', 'trains', 'lockdown', 'indias', 'tigers', 'indian', 'restrictions', 'spread', 'misery', 'surge']",15
203,"['photographers', 'pictures', 'photojournalists', 'lens', 'world', 'intimacy', 'portraits', 'cameras', 'capture', 'captured']",15
204,"['jazz', 'dies', 'pianist', 'virtuoso', 'rock', 'guitarist', 'guitar', 'complications', 'roney', 'halen']",15
205,"['polls', 'polling', '2016', 'error', 'pollsters', 'survey', 'registered', 'election', 'voters', 'wrong']",15
206,"['electric', 'cars', 'car', 'tesla', 'vehicle', 'vehicles', 'driverless', 'selfdriving', 'horsepower', 'perfection']",15
207,"['stress', 'you', 'do', 'improve', 'worked', 'skin', 'cope', 'habits', 'healthy', 'natural']",15
208,"['conservatism', 'gessen', 'ronald', 'authoritarianism', 'reagan', 'conservative', 'conservatives', 'liberal', 'divided', 'multivolume']",15
209,"['uber', 'gig', 'lyft', 'ridehailing', 'drivers', 'companies', 'california', 'taxis', 'apps', 'ride']",15
210,"['election', 'guide', 'results', 'preelection', 'elections', 'day', 'special', 'game', 'geared', 'hourbyhour']",15
211,"['parents', 'homecoming', 'black', 'nice', 'serial', 'education', 'white', 'boyfriend', 'historically', 'girls']",15
212,"['flynn', 'case', 'adviser', 'michael', 'judge', 'security', 'cooperating', 'guilty', 'dismiss', 'national']",14
213,"['maduro', 'nicols', 'venezuelan', 'venezuela', 'highranking', 'colombias', 'dictator', 'strongman', 'detained', 'detention']",14
214,"['olympics', 'tokyo', 'games', 'athletes', 'postpone', 'olympic', 'ioc', 'international', 'committee', 'parkour']",14
215,"['internet', 'online', 'phone', 'digital', 'traffic', 'changed', 'americans', 'stuck', 'abstinence', 'broadband']",14
216,"['children', 'migrant', 'families', 'border', 'separated', 'policy', 'orphanage', 'expelled', 'immigration', 'separation']",13
217,"['color', 'publishing', 'black', 'diversity', 'magazines', 'newsroom', 'journalists', 'employees', 'workplace', 'brown']",13
218,"['mask', 'face', 'mayo', 'wearing', 'night', 'clinic', 'masked', 'jacksonville', 'late', 'wear']",13
219,"['billion', 'zillionaires', 'cashfree', 'diseased', 'guise', 'bangladeshwe', 'cashless', 'reevaluating', 'necessities', 'aggregate']",13
220,"['tax', 'returns', 'records', 'da', 'court', 'attorney', 'justices', 'supreme', 'filing', 'financial']",13
221,"['nobel', 'physics', 'prize', 'awarded', 'holes', 'universe', 'hepatitis', 'steinberger', 'koshiba', 'quantum']",13
222,"['year', '2020', 'gift', 'linings', 'readers', 'responses', 'silver', 'good', 'flops', 'decade']",12
223,"['hair', 'barbershops', 'salons', 'grooming', 'haircut', 'barbershop', 'astor', 'beautification', 'citizenry', 'sperling']",12
224,"['burial', 'tilly', 'breimhorst', 'craig', 'obituaries', 'cape', 'memorials', 'grandfather', 'died', 'trucks']",12
225,"['fargo', 'recap', 'episode', 'season', 'ethelrida', 'loys', 'brother', 'chris', 'kansas', 'dog']",12
226,"['fraud', 'stolen', 'claims', 'election', 'krebs', 'lie', 'counting', 'progressed', 'shenanigans', 'debunking']",12
227,"['florida', 'floridas', 'virus', 'surging', 'spike', 'disney', 'population', 'data', 'unrealistic', 'rebekah']",12
228,"['tv', 'gilmore', 'shows', 'binge', 'sitcom', 'canceled', 'girls', 'reality', 'streaming', 'cw']",12
229,"['team', 'name', 'nfl', 'names', 'native', 'washington', 'redskins', 'teams', 'round', 'spiral']",12
230,"['westworld', 'recap', 'dolores', 'season', 'episode', 'caleb', 'physicist', 'humans', 'learns', 'mirror']",11
231,"['olympic', 'she', 'sunisa', 'gymnast', 'phelps', 'gymnasts', 'coaching', 'suffer', 'her', '75']",11
232,"['italy', 'venice', 'bridge', 'tourists', 'tourism', 'italian', 'collapsed', 'visitors', 'inaugurates', 'capri']",11
233,"['island', 'islands', 'ferries', 'ferry', 'virgin', 'domain', 'mainland', 'ai', 'startups', 'resort']",11
